taxID	FSLB_count	GP143_count	GP157_count	GPR1_count	Galpha_count	Gbeta_count	Ggamma_count	Mth_count	Nematode_count	Olfactory_count	RBP1_count	STE2_count	STE3_count	TBP_count	Vomeronasal1_count	Vomeronasal2_count	cAMP_count	classA_count	classB1_count	classB2_count	classC_count	classF_count	classT_count
2211647	0	0	0	2	4	1	1	0	0	0	3	1	1	2	0	0	2	0	0	0	0	0	0
221167	1	0	0	3	5	1	1	0	0	0	3	1	1	1	0	0	3	0	0	0	0	0	0
221518	0	0	0	0	1	1	1	0	0	0	2	0	0	3	0	0	3	0	0	0	0	0	0
221966	0	1	1	0	14	5	11	0	0	24	2	0	0	3	0	0	0	236	16	13	14	11	6
223781	0	1	1	0	15	4	12	0	0	81	3	0	0	3	0	0	0	284	19	23	20	11	2
223818	0	0	0	0	1	1	1	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0
224129	0	1	0	0	10	3	4	12	0	0	4	0	0	3	0	0	0	83	7	7	12	6	0
224669	0	1	1	0	19	4	12	0	0	41	4	0	0	3	0	0	0	268	17	21	19	10	2
2249417	1	0	0	0	3	1	1	0	0	0	3	1	0	1	0	0	1	0	0	0	0	0	0
2249418	1	0	0	0	3	1	1	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0
